ark,这么跟你说吧，ark的气血就像杨振宁的性欲，越老越涨。
白骨架,白骨架在归云庄山洞，小心梅超风XX你。
白驼储藏室,在白驼门廊找到管家，想办法拿到他身上的钥匙，再去院子开门后就能进入储藏室。
白驼密道,白驼密道在内室，move盆，down。直通扬州。
百草丹,百草丹是掉落物品，吃了食物饮水补满，当前内力涨到最大内力的两倍，卖到当铺可以赚40gold。
般若经,般若经在少林藏经阁一层地上，可以读禅宗心法到51级。
棒棒糖,棒棒糖就是一种糖，呈棒状，请大家自己想象。
宝石,宝石是好东西(help mimi-equip)，而且是北侠的实际流通货币，虽然新人刚开始没法保存宝石，但是可以考虑从tianying、pigyy、qianr或zzhx等老bt手里换取各种资源和服务，请充分利用。
保卫,保卫是一项有危险的任务，10m以下的id请注意安全。详细情况请help task-baowei或去wiki查看。
保卫襄阳,这是一个集体任务，目标是打退蒙古对襄阳四门的进攻。需要很好的配合，新手多学习老手的经验，fish不要太靠前。
北冥神功,北冥神功吸取内力的最大值=有效等级×(先天根骨+10)×5/10
匕首,匕首类兵器，比较好一点的只有平西王府宝库的鱼肠刺和鳌拜密室的匕首。
冰魄杖,冰魄杖在星宿，星宿门人先问丁春秋，再问阿紫，然后去逍遥洞move dianzi，照着提示做就行了。不过一般扬州当铺都有卖的。
兵法战策,兵法战策是朝廷的技能，是升官、召唤大内高手等的必备之术。依次读唐太宗李卫公问对、六韬、三略、孙膑兵法、尉缭子、吴子兵法和孙子兵法七本书可以涨到200级。
波罗蜜多心经,波罗蜜多心经在少林藏经阁一层地上，可以读禅宗心法到101级。
茶花林,"茶花林在慕容曼陀山庄，从码头穿过茶花林的路径是：w,n,w,do 2 s,do 2 e,do 2 w。从小路经桃花林回码头的路径是：e,s,n,w,do 2 n,e,s,e."
禅宗心法,禅宗心法是少林秃驴的重要技能，除了在达摩院参禅可以涨以外，下列书籍也可以拿来读读：般若经、维摩经、法华经、华严经，可读0至51级；无量寿经、大般涅磐经、阿含经、金刚经、波罗蜜多心经，可读0至101级。
超级笨蛋,超级笨蛋是闻名海内外的自虐狂，关于自虐的任何疑问都可以咨询他。
承光壁,"大理承光壁在大理王府。具体路径是：dali,do 2 n,w,enter,n,w,n"
虫二,我只见过虫子一面，当时我就震惊了。
丑雕,丑雕不能杀，否则过不去了，ask chou diao about 独孤求败 才能过去。
臭狗屎,臭狗屎是天上掉的玩意儿，吃了涨一点最大精力。
出师,50m经验以后，收集齐金庸全集，可以找金庸去出师，要打败好多好多个大宗师才行。出师以后可以拜别的门派。
春宫图,春宫图是虫二照着picewolf画出来的。
达摩心经,达摩心经可以读禅宗心法到150级。少林弟子门忠400后找方丈玄慈要。读达摩心经至少需要1级梵文，且阅读效率于基础梵文等级成正比。 
大般涅磐经,大般涅磐经在少林藏经阁一层地上，可以读禅宗心法到101级。
大藏经,大藏经可以读欢喜禅到102级，大轮寺弟子在10级读书写字、30级欢喜禅后，去摩诃巴思处 ask basi about 写经书，拿到工具后去大经堂write jingshu。可抄出来的经书共三种：甘珠儿经、丹珠儿经和大藏经，与读书写字等级有关。
大草原,大草原在襄阳北边，需要骑汗血宝马，当铺可能有卖的，ask guo about 报国就能去草原了。
大乘涅磐功,大乘涅磐功是峨眉尼姑的佛法，除了向师傅学习外，还可以读大乘涅磐经到101级，到一定等级后可以通过在云台静坐（jinzuo）来涨。
大乘涅磐经,大乘涅磐经用来涨大乘涅磐功到101级，在峨眉山归云馆地上。有两种，look可看出区别，另一种只能读到51级。
大道,有大道的地点有：慕容、杀手帮和星宿。
大还丹,大还丹是少林寺的灵药，激发了混元一气功的人吃了涨一点最大内力，但不能连续吃，否则降1点最大内力。外派id不能吃，否则降10点最大内力。
大轮寺经书,读大轮寺的经书可以涨欢喜禅等级最高到102级，大轮寺弟子在10级读书写字、30级欢喜禅后，去摩诃巴思处 ask basi about 写经书，拿到工具后去大经堂write jingshu。可抄出来的经书共三种：甘珠儿经、丹珠儿经和大藏经，与读书写字等级有关。
大清律例,朝廷id读大清律例可以涨为官之道从0到50级。ask duo long about 为官之道可得。
丹珠儿经,丹珠儿经可以读欢喜禅到82级，大轮寺弟子在10级读书写字、30级欢喜禅后，去摩诃巴思处 ask basi about 写经书，拿到工具后去大经堂write jingshu。可抄出来的经书共三种：甘珠儿经、丹珠儿经和大藏经，与读书写字等级有关。
道德经,道德经是五本全真道德经中的一本，能读道学心法（daoxue-xinfa）到101级。到全真写经房，ask daozhang about 经书，有几率拿到，也可以问藏经阁道长要到。
道德经「第八章」,"道德经「第八章」是七本武当道德经中的一本,能读道学心法(taoism)到31级.到复珍观2,3层可以拿到."
道德经「第二章」,"道德经「第二章」是七本武当道德经中的一本,能读道学心法(taoism)到31级.到复珍观2,3层可以拿到."
道德经「第十八章」,道德经「第十八章」是五本全真道德经中的一本，能读道学心法（daoxue-xinfa）到31级。到全真写经房，ask daozhang about 经书，有几率拿到。
道德经「第十六章」,"全真的道德经「第十六章」是五本全真道德经中的一本,能读道学心法（daoxue-xinfa）到31级.到全真写经房,ask daozhang about 经书,有几率拿到.武当的道德经「第十六章」是七本武当道德经中的一本,能读道学心法(taoism)到31级.到复珍观2,3层可以拿到."
道德经「第十三章」,"全真的道德经「第十三章」是五本全真道德经中的一本,能读道学心法（daoxue-xinfa）到31级.到全真写经房,ask daozhang about 经书,有几率拿到.武当的道德经「第十三章」是七本武当道德经中的一本,能读道学心法(taoism)到31级.到复珍观2,3层可以拿到."
道德经「第一章」,"全真的道德经「第一章」是五本全真道德经中的一本,能读道学心法（daoxue-xinfa）到31级.到全真写经房,ask daozhang about 经书,有几率拿到.武当的道德经「第一章」是七本武当道德经中的一本,能读道学心法(taoism)到31级.到复珍观2,3层可以拿到."
道德经「上卷」,"道德经「上卷」是七本武当道德经中的一本,能读道学心法(taoism)到51级.到复珍观2,3层可以拿到."
道德经「下卷」,"道德经「下卷」是七本武当道德经中的一本,能读道学心法(taoism)到101级.到复珍观2,3层可以拿到,或者ask 谷虚道长 about 道德经."
道学心法,有两种道学心法，你要问哪个，daoxue-xinfa还是taoism？
地道,你想问神龙地道还是峨眉地道？
地下室,少林地下室在少林的西碑林，look tower，看到四句诗，念第二句 (say 上报四重恩，下济三途苦)，然后 do 4 pull stone up，do 3 push stone down.
钓鱼,"新手在汗水南岸、慕容钓鱼台、神龙岛海滩和泉州海边可以钓鱼到5万经验。到苏州老渠那儿buy yuer,buy yugou,然后gua yuer，diao yu。"
丁坚,丁坚是日月的人，在梅庄看门。进梅庄要有四宝才行。
丢档,为防止丢档，请大家用timer按时save和backup，并且不要再save或backup后立刻退出。
读书写字,读书写字除了向自己门派师傅学习，还可以跟朱熹免费学到300级，慕容的书生可以学到500，但是比较贵。再高只能上侠客岛学了。250级以下能读的书有：说文解字、圣经、鬼谷神算和孟子。
独孤九剑,独孤九剑伤害不行，但是kuangfeng打兵器命中很高，poqi封对手perform也算使用，是华山派的辅助剑法。
锻造术残篇,锻造术残篇是用来打造牛逼武器的，目前为止只有一人有这个本事，去丽春院附近找找看。
锻造术残篇第一页,锻造术残篇第一页是用来打造牛逼武器的，目前为止只有一人有这个本事，去丽春院附近找找看。
夺魄枪,岳王爷的神器，damage 200。但是很难得，要去盗岳王墓才有一定几率拿到。
峨眉地道,想进峨眉地道？去峨眉凤凰台，ask bai yuan about 帮助。
峨眉附近的地道,想进峨眉地道？去峨眉凤凰台，ask bai yuan about 帮助。
发呆,"年龄18以下、经验11万以下、最大精力和内力1000以下的新手可以用fadai命令立刻恢复当前精神和气血，请新手妥善利用。路径：ct,d,out"
发呆室,"年龄18以下、经验11万以下、最大精力和内力1000以下的新手可以用fadai命令立刻恢复当前精神和气血，请新手妥善利用。路径：ct,d,out"
法华经,法华经在少林藏经阁一层地上，可以读禅宗心法到51级。
方天画戟,方天画戟在明教绿柳山庄钱二败身上。
方舟,这么跟你说吧，ark的气血就像杨振宁的性欲，越老越涨。
飞沙走石十三式,"飞沙走石十三式可以读基本刀法到101级,到扬州财主家找到田伯光,ask tian about 淫贼,他会问你敢不敢接他三招,accept后拿到."
飞贼,飞贼是贼婆娘小宝贝的老公，两人狼狈为奸，在pkuxkx里专干坏事。。。。
佛经,少林佛经用来读禅宗心法，般若经、维摩经、法华经、华严经，可读0至51级；无量寿经、大般涅磐经、阿含经、金刚经、波罗蜜多心经，可读0至101级。同种类的经书在当铺反复进行dang和shu的操作可以改变书的种类，做门忠需要该技巧。
福缘丹,福缘丹是掉落物品，吃了有可能增长先天福缘1点。
丐帮沙丘小洞,丐帮沙丘小洞在丐帮4号暗道内。
甘珠儿经,甘珠儿经可以读欢喜禅到52级，大轮寺弟子在10级读书写字、30级欢喜禅后，去摩诃巴思处 ask basi about 写经书，拿到工具后去大经堂write jingshu。可抄出来的经书共三种：甘珠儿经、丹珠儿经和大藏经，与读书写字等级有关。
更新,每15分钟系统更新一次，所有隔儿屁的npc会复活，更新前2分钟和更新后都有提示。
工资,各门派会定期发放例银，发放人名单请help silver
古刺客秘籍,古刺客秘籍可以读基本匕法到101级.拿法:神龙教弟子门忠500后问陆高轩要.
古墓墓洞,"古墓小溪处swim river,n,n,e,n,n,w,w,n,n,e,n,w,ban stone，出来juan picture"
古墓墓洞,"古墓小溪处swim river,n,n,e,n,n,w,w,n,n,e,n,w,ban stone，出来juan picture"
挂剑祠,"挂剑祠在嘉兴南湖，nd,ask chou diao about 独孤求败,nu,se"
关键词,关键词就是你想问问题的中心词，比如你想问哪里能拿到天山雪莲，关键词就是雪莲或者天山雪莲。
观妙亭,观妙亭在大理王府内。
归云庄迷魂阵,"归云庄迷魂阵在太湖，具体路径：ct,do 6 e,se,n,se,n,w,n,do 6 e,s，给看门的手印就能进去了。出来的方法是：e,n,w,s,w,do 3 e,n"
归云庄桃花林,"归云庄桃林需要先ask 阿香 about 烟斗，w,w,w,s，把烟斗给总管，他会给你一个铜哨，去打晕阿香blow pipe即可，里面最东的房间和出池塘会晕"
鬼谷神算,鬼谷神算是天上掉的神书。可以读读书写字到181级。悟性达到40才能读，读一次耗精100。
郭大路,老郭可是大才子，饱读诗书，一身流氓气质独步北侠，是我个人的偶像。
果林,果林在杀手帮，e或w随便走两步，然后s就出来了。
寒冰,寒冰是个小帅锅，大家不要客气，随便招呼。我都用过了，很好很强大。
寒梅花露,寒梅花露只有慕容家的人可以吃，涨最大内力一点。问阿朱要吧。
毫毛,毫毛是npc，专捡北侠破烂，不能杀，但是可以偷袭试试。
黑店,"黑店：ct,do 6 w,nu,wd，新手小心点儿。出来要open door。"
黑老板,"黑老板在黑店，ct,do 6 w,nu,wd，新手小心点儿。"
黑木崖,黑木崖是日月神教的老窝，外派的人想要上去必须给上官云一把金蛇锥，然后才能enter 竹篓。
黑沼,"瑛姑在黑沼，路径是：去，yinggu，回，yinggub。如果困在黑沼，用yinggu,yinggub两个alias出来。"
厚黑学,朝廷id读厚黑学可以涨为官之道从101到150级。去找吴之荣要吧。
蝴蝶泉,蝴蝶泉在大理南门eu方向
虎骨,虎骨是配丸子的原料，在襄阳城东黑松岭杀死老虎可得。
花露,花露是慕容家的灵药，有三种：玫瑰花露、茉莉花露和寒梅花露，功能各不相同，你想问哪种？
华山剑谱,"华山剑谱可读基本剑法到101级.拿法:华山脚下小山村小巷尽头,向小流氓打听王小二,再到玄坛庙enter hole见到王小二,打听偷鸡的事,bihua嬴过他即可获得. "
华山小路,"去华山小路的路径是：ct, do 5 n,nw,do 6 n,do 5 e,se,su,eu,su,eu,do 2 su,sd,su,e,do 2 sd,climb xuanya,climb west。有轻功要求，否则会晕。"
华严经,华严经在少林藏经阁一层地上，可以读禅宗心法到51级。
画皮,画皮里的女人很美，男人很贱。
欢喜禅,欢喜禅是大轮寺的淫荡功夫，除了向师傅学，还可以通过读下列书籍获得：甘珠儿经(0-52)、丹珠儿经(0-82)和大藏经(0-102)。
黄道婆,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
黄金,黄金是本mud官方流通货币，新手缺钱请找天鹰，他是个乐善好施的好淫。
黄金甲,黄金甲是比紧身保甲还牛X的衣服，可惜不常有，也不能存。
黄毛鬼,黄毛鬼？去牙山找找吧。
回档,请大家在zmud->操作->计时器里把秒数设到300以上执行指令save，以防当机造成丢档。
火龙丹,火龙丹是掉落物品，吃了加20最大内力。
霍都,"霍都在汝州,装扮成何师我了,ask he about 霍都,多问几次就ok,小心他叫杀."
鸡鸡,你个臭流氓想啥呢？鸡鸡就是两只鸡站在一起。
积雪小路,大轮寺的积雪小路需要正午时分从大轮寺北面的镜庐佛堂处往w走。非正午尝试会晕倒。
基本匕法,"基本匕法除了向师傅学习外,还可以读古刺客秘籍到101级.拿法:神龙教弟子门忠500后问陆高轩要."
基本刀法,"基本刀法除了向师傅学习,还可以读飞沙走石十三式(0-101)和天龙八部(101-180)."
基本毒技,基本毒技是星宿的功夫，除了向师傅学习，可以读星宿毒经〖上册〗涨到100级。
基本剑法,"基本剑法除了向师傅学习,还可以读剑法入门(0-30),华山剑谱(0-101),watch无量玉璧(0-151),study华山思过崖后洞(0-100),天龙八部(101-180)和天上掉的真武剑(50-120)."
基本轻功,"基本轻功除了向师傅学习外,还可以中央广场爬树(0-50),慕容踩桩(不限),大理承光壁climb wall(0-100),少林钟鼓楼跳楼(不限),读旧竹片(0-30)或带着旧竹片走少林达摩洞竹林(0-101)."
基本拳法,"基本拳法除了向师傅学习外,还可以读石板(0-30)和拳法入门(0-51)."
基本指法,"基本指法除了向师傅学习外,还可以读石板(0-30)或六脉神剑剑谱(0-151)."
基本爪法,"基本爪法除了向师傅学习,还可以读石板(0-30),爪法入门(0-51)和鹰爪功秘诀(0-151)."
基础梵文,基础梵文可以靠读天竺梵语从1到101级。到明教山下小木屋，look picture，ask lao zhe about picture，给钱就xue fanwen for lao zhe 1，之后buy shu可以读。
技能上限,"技能上限 = 经验乘十,开三次方,再加一. 或者直接到扬州巫师会客室(ct,do 2 n,w,nw)输入exp查看."
假死,假死无任何损失。以下情况为假死：比武场死亡，跳楼摔死，凌霄铁索摔死，萧峰任务被蒙面杀手杀死，海战死亡等。
剑法入门,"剑法入门在凌霄城尚武书局,可读基本剑法到30级."
贱人,这位姑娘，请不要过分自责了，北侠贱人又不止你一个。
降内力,"新手如果内力超标可以用dz,halt的方法降内力，也可以降低有效内功到100以下，quit进来"
金顶,"金顶在峨眉最北边，可以观日出。经过云海去金顶的路线是：n,n,w,e,s,e,e,n,n。"
金刚经,金刚经在少林藏经阁一层地上，可以读禅宗心法到101级。
金蛇锥,"金蛇锥的拿法：华山舍身崖，多问几次公平子关于金蛇郎君的事情，正午会出现westup的路（没有就ed,wu多走几次到出现为止），身法大于60可以down，然后break dong，找到skeleton，bury skeleton。"
金叶,金叶 = 80 silver。
金庸全集,金庸全集收集齐才能出师，具体拿法去wiki.pkuxkx.net看。
经验,强弱的首要指标。
精力上限,精力上限=基本内功(force)等级乘15。基本内功等级用skills命令查看。
景山,景山在北京紫禁城北边。
九转熊胆丸,吃丸子涨最大精力15点、最大内力10点，一岁最多吃20个，可累计。现在丸子一般有人挂，需要的话问pig要要看。
旧竹片,"旧竹片又名易筋经轻功篇,达摩洞内获得.读完之后带在身上走达摩洞,可涨dodge至101."
巨蟒胆,巨蟒胆是女娲石的原料，在太湖黑风山的蛇窟里。
巨岩,巨岩在武当，天柱峰下climb
牢房钥匙,"牢房钥匙在ct,w,w,n,n,n崔员外身上。"
老巴,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
老黄,kera？kera是我哥们儿，就算他跟我抢倩儿，我都不会扁他。因为我扁不过他。
老渠,老渠专卖鱼饵，去苏州西大街杂货铺找他。
老山参,老山参吃了有几率涨1点最大内力，同时也是做女娲石的原料，拿法：在北京关外密林，search 人参。
老秃,其实老秃并不是全身上下都秃，个别地方你们看不见而已。
老顽童,有两个周伯通，桃花岛的那个负责教互博，学会以后再见不到；全真树林那个是常驻的，用来完成一灯任务或各门派门忠。
雷震挡,雷震挡是明教绿柳山庄赵一伤的独门兵器。
例银,各门派会定期发放例银，发放人名单请help silver
灵鹫密道,灵鹫密道在灵鹫独尊厅往西，花园处ban shan（当前内力要大于1000），down就是了。
灵芝,灵芝在襄阳黑松彾，是配丸子的原料之一，也可以吃，吃了涨300当前内力。
凌霄松林,"凌霄松林是个比较难的迷宫，总的来说，想去拿宝贝，走n,nw方向；想出来的话，走s,se方向。"
领钱,各门派会定期发放例银，发放人名单请help silver
领悟,领悟是不耗潜能涨基本功夫的方法之一（另一个是侠客岛），在少林达摩院二楼，需要过十八罗汉阵。
刘寡妇,刘寡妇常年不在自己家住，在谁家大家心里都清楚。 
六脉神剑剑谱,六脉神剑剑谱可以读基本指法到151级.天龙弟子门忠1000以上找枯荣要吧.
六盘山,"六盘山在扬州以西，从ct，do 6 w,nu就是。"
六韬,朝廷id读六韬可以涨兵法战策从31到60级。去找多隆要吧。
龙鳞,龙鳞好像是某套装中的一件防具，能提高招架和人品。
龙心,龙心好像是某套装中的一件，可以临时增加内功和身法修为，还能提高人品。
龙牙,龙牙好像是某套装中的一柄剑，能提高剑法和人品。
陆家庄,"陆家庄在嘉兴西南边，具体路径：ct,do 6 e,se,s,e,s,do 2 sw,s"
绿柳山庄,绿柳山庄在明教山脚下大沙漠sw方向，ct输入lvliu即可，回来是lvliub
罗汉阵,过罗汉阵需要所有技能80，去少林分别找玄苦和玄难问罗汉大阵的事情，按提示做就行了。
裸奔,有人裸奔？哪儿呢哪儿呢？是倩儿还是小宝贝，该不会又是老秃吧？
骆驼,白驼弟子在钱眼开处ask 骆驼，非白驼弟子ask 租骆驼，5gold一次。骑骆驼可以去白驼沙漠。
落英神剑掌,落英神剑掌是桃花岛的绝学，需解密才能学，提示如下：问黄药师和黄蓉落英神剑掌，找曲灵风要铁八卦，当strike大于100，加力大于100的时候，pai tie bagua。如果拍了上百次都没学到，那就放弃吧，你的福缘不够。
慢慢来,慢慢来是闻名海内外的自虐狂，关于自虐的任何疑问都可以咨询他。
玫瑰花露,玫瑰花露只有慕容家的人可以吃，补满当前气血、精神和内力。问阿朱要吧。
美女,北侠有美女，但是我就不告诉你是谁。
闷骚,闷骚就是说：平常装的人麽狗样，其实暗地里骚的一塌糊涂。
蒙古包,蒙古包在襄阳以北。必须先问郭靖报国的事情，然后骑着汗血宝马（必须）到襄阳北门give jiang ling，再一直往北既是。
孟子,孟子是天上掉的神书。可以读读书写字到251级。悟性达到45才能读，读一次耗精200。
迷魂阵,有两个迷魂阵，你要问无量山迷魂阵还是归云庄迷魂阵？
密道,灵鹫密道在灵鹫独尊厅往西，花园处ban shan（当前内力要大于1000），down就是了。
密室房梁,密室房梁在泉州向阳老宅。
免费武器,"经验30m以下的id可以到爱爱那儿领取免费武器和装甲，攻防都是很不错的。地点是ct,d,out。命令为list和draw。"
明教密室,在明教后花园问小昭关于张无忌、乾坤大挪移和密室的消息即可，必须是张无忌弟子。
明书辑略,朝廷id读明书辑略可以涨为官之道从51到100级。到鳌拜府内找找看。
鸣鸿刀,鸣鸿刀是wiz发的宝贝，攻击 +175，轻且结实，但是无法保存。
茉莉花露,茉莉花露只有慕容家的人可以吃，涨最大精力一点。问阿朱要吧。
莫高窟,"莫高窟在月儿泉那里，具体路径是：ct,do 6 w,nu,nd,do 2 w,nw,climb mount"
母鸡,母鸡已经精尽人亡，请大家不要再打扰她了。
慕容茶花林,"茶花林在慕容曼陀山庄，从码头穿过茶花林的路径是：w,n,w,do 2 s,do 2 e,do 2 w。从小路经桃花林回码头的路径是：e,s,n,w,do 2 n,e,s,e."
